neighborhood,gender_ratio,weekday,weekend,morning,afternoon,evening
Battery Park City,2.91548881036514,393,413,398,182,226
Boerum Hill,2.80111524163569,47,87,-445,417,162
Brooklyn Heights,2.75210477081384,-248,-117,-942,379,198
Chelsea,3.63635881104034,-1712,-1242,-3583,1570,-941
Chinatown,2.86244841815681,11,147,451,-272,-21
Civic Center,2.94142980189492,-219,-40,428,-645,-42
Clinton Hill,2.25776699029126,75,135,-1791,822,1179
Cobble Hill,2.45454545454545,290,108,-184,472,110
DUMBO,2.70987124463519,549,315,1335,-358,-113
Downtown Brooklyn,2.88487368084426,741,191,538,212,182
East Village,2.69887046383081,1331,178,-7984,6694,2799
Financial District,3.30372661658565,97,280,5260,-5541,658
Flatiron District,3.25614150016377,66,120,2015,-1577,-252
Fort Greene,2.55857898715042,-62,-41,-1453,775,575
Gramercy,2.8941466083151,-180,124,195,-326,75
Greenwich Village,2.88795518207283,-344,-78,-909,619,-132
Hell's Kitchen,4.15373871938118,-314,-89,-6033,3739,1891
Kips Bay,3.09855471438403,100,153,-1048,57,1244
Korea Town,3.77,-50,-6,65,-160,39
Lower East Side,2.51656804733728,286,134,-5153,3071,2502
Midtown,4.38931742104497,114,-863,11509,-12359,101
Murray Hill,3.74042553191489,-86,-135,-525,-96,400
Navy Yard,3.04105571847507,102,6,56,-60,112
NoHo,4.14250614250614,-115,-52,164,-277,-54
Nolita,2.98076923076923,6,53,259,-33,-167
SoHo,2.81914746861636,669,420,4038,-2532,-417
Stuyvesant Town,2.70556161395856,103,21,-2100,1643,581
Theater District,4.84584837545126,-974,-587,251,-1697,-115
Tribeca,2.98630723149337,5,110,2487,-2062,-310
Two Bridges,2.67741935483871,-63,-9,-1064,678,314
Upper East Side,3.84791965566715,63,167,652,-389,-33
Upper West Side,3.22571692876966,11,63,-144,364,-146
West Village,2.86195941791351,131,133,-3436,3295,405
Williamsburg,2.9837775202781,828,472,-905,1537,668
