Station,Neighborhood
1 Ave & E 15 St,Stuyvesant Town
1 Ave & E 18 St,Gramercy
1 Ave & E 30 St,Kips Bay
1 Ave & E 44 St,Midtown
10 Ave & W 28 St,Chelsea
11 Ave & W 27 St,Chelsea
11 Ave & W 41 St,Hell's Kitchen
11 Ave & W 59 St,Upper West Side
12 Ave & W 40 St,Hell's Kitchen
2 Ave & E 31 St,Kips Bay
2 Ave & E 58 St,Midtown
3 Ave & Schermerhorn St,Boerum Hill
5 Ave & E 29 St,Midtown
6 Ave & Broome St,SoHo
6 Ave & Canal St,SoHo
6 Ave & W 33 St,Chelsea
8 Ave & W 31 St,Chelsea
8 Ave & W 33 St,Chelsea
8 Ave & W 52 St,Hell's Kitchen
9 Ave & W 14 St,Chelsea
9 Ave & W 16 St,Chelsea
9 Ave & W 18 St,Chelsea
9 Ave & W 22 St,Chelsea
9 Ave & W 45 St,Hell's Kitchen
Adelphi St & Myrtle Ave,Fort Greene
Allen St & E Houston St,Lower East Side
Allen St & Hester St,Lower East Side
Allen St & Rivington St,Lower East Side
Ashland Pl & Hanson Pl,Downtown Brooklyn
Atlantic Ave & Fort Greene Pl,Downtown Brooklyn
Atlantic Ave & Furman St,Cobble Hill
Avenue D & E 12 St,East Village
Avenue D & E 3 St,East Village
Avenue D & E 8 St,East Village
Bank St & Hudson St,West Village
Bank St & Washington St,West Village
Barclay St & Church St,Tribeca
Barrow St & Hudson St,West Village
Bayard St & Baxter St,Chinatown
Bedford Ave & S 9th St,Williamsburg
Bialystoker Pl & Delancey St,Lower East Side
Bond St & Schermerhorn St,Boerum Hill
Broad St & Bridge St,Financial District
Broadway & Battery Pl,Financial District
Broadway & Berry St,Williamsburg
Broadway & E 14 St,Gramercy
Broadway & E 22 St,Flatiron District
Broadway & W 24 St,Flatiron District
Broadway & W 29 St,Midtown
Broadway & W 32 St,Midtown
Broadway & W 36 St,Midtown
Broadway & W 37 St,Midtown
Broadway & W 39 St,Midtown
Broadway & W 41 St,Theater District
Broadway & W 49 St,Theater District
Broadway & W 51 St,Theater District
Broadway & W 53 St,Theater District
Broadway & W 55 St,Midtown
Broadway & W 58 St,Midtown
Broadway & W 60 St,Upper West Side
Bus Slip & State St,Financial District
Cadman Plaza E & Red Cross Pl,Downtown Brooklyn
Cadman Plaza E & Tillary St,Downtown Brooklyn
Cadman Plaza West & Montague St,Brooklyn Heights
Canal St & Rutgers St,Lower East Side
Carlton Ave & Park Ave,Fort Greene
Carmine St & 6 Ave,West Village
Catherine St & Monroe St,Two Bridges
Central Park S & 6 Ave,Midtown
Centre St & Chambers St,Civic Center
Centre St & Worth St,Civic Center
Cherry St,Two Bridges
Christopher St & Greenwich St,West Village
Clark St & Henry St,Brooklyn Heights
Clermont Ave & Lafayette Ave,Fort Greene
Clermont Ave & Park Ave,Fort Greene
Cleveland Pl & Spring St,SoHo
Cliff St & Fulton St,Financial District
Clinton Ave & Flushing Ave,Navy Yard
Clinton Ave & Myrtle Ave,Clinton Hill
Clinton St & Grand St,Lower East Side
Clinton St & Joralemon St,Brooklyn Heights
Clinton St & Tillary St,Brooklyn Heights
Columbia Heights & Cranberry St,Brooklyn Heights
Columbia St & Rivington St,Lower East Side
Concord St & Bridge St,Downtown Brooklyn
Cumberland St & Lafayette Ave,Fort Greene
Dean St & 4 Ave,Boerum Hill
DeKalb Ave & Hudson Ave,Fort Greene
DeKalb Ave & S Portland Ave,Fort Greene
DeKalb Ave & Skillman St,Clinton Hill
DeKalb Ave & Vanderbilt Ave,Clinton Hill
Division St & Bowery,Nolita
Duane St & Greenwich St,Tribeca
Duffield St & Willoughby St,Downtown Brooklyn
E 10 St & 5 Ave,Greenwich Village
E 10 St & Avenue A,East Village
E 11 St & 1 Ave,East Village
E 11 St & 2 Ave,East Village
E 11 St & Broadway,Greenwich Village
E 12 St & 3 Ave,East Village
E 13 St & Avenue A,East Village
E 14 St & Avenue B,Stuyvesant Town
E 15 St & 3 Ave,Gramercy
E 16 St & 5 Ave,Gramercy
E 16 St & Irving Pl,Gramercy
E 17 St & Broadway,Gramercy
E 19 St & 3 Ave,Gramercy
E 2 St & 2 Ave,East Village
E 2 St & Avenue B,East Village
E 2 St & Avenue C,East Village
E 20 St & 2 Ave,Gramercy
E 20 St & FDR Drive,Stuyvesant Town
E 20 St & Park Ave,Gramercy
E 23 St & 1 Ave,Stuyvesant Town
E 24 St & Park Ave S,Kips Bay
E 25 St & 1 Ave,Kips Bay
E 25 St & 2 Ave,Kips Bay
E 27 St & 1 Ave,Kips Bay
E 3 St & 1 Ave,Kips Bay
E 30 St & Park Ave S,Kips Bay
E 31 St & 3 Ave,Kips Bay
E 32 St & Park Ave,Kips Bay
E 33 St & 2 Ave,Kips Bay
E 33 St & 5 Ave,Korea Town
E 37 St & Lexington Ave,Murray Hill
E 39 St & 2 Ave,Murray Hill
E 39 St & 3 Ave,Murray Hill
E 4 St & 2 Ave,East Village
E 40 St & 5 Ave,Midtown
E 43 St & 2 Ave,Murray Hill
E 43 St & Vanderbilt Ave,Midtown
E 45 St & 3 Ave,Midtown
E 47 St & 1 Ave,Midtown
E 47 St & 2 Ave,Midtown
E 47 St & Park Ave,Midtown
E 48 St & 3 Ave,Midtown
E 48 St & Madison Ave,Midtown
E 5 St & Avenue C,East Village
E 51 St & 1 Ave,Midtown
E 51 St & Lexington Ave,Midtown
E 52 St & 2 Ave,Midtown
E 53 St & Lexington Ave,Midtown
E 53 St & Madison Ave,Midtown
E 55 St & 2 Ave,Midtown
E 55 St & Lexington Ave,Midtown
E 56 St & 3 Ave,Midtown
E 56 St & Madison Ave,Midtown
E 58 St & 3 Ave,Midtown
E 59 St & Sutton Pl,Upper East Side
E 6 St & Avenue B,East Village
E 6 St & Avenue D,East Village
E 7 St & Avenue A,East Village
E 9 St & Avenue C,East Village
Elizabeth St & Hester St,Chinatown
Emerson Pl & Myrtle Ave,Clinton Hill
FDR Drive & E 35 St,Murray Hill
Flushing Ave & Carlton Ave,Navy Yard
Forsyth St & Broome St,Lower East Side
Forsyth St & Canal St,Chinatown
Franklin Ave & Myrtle Ave,Cobble Hill
Franklin St & W Broadway,Tribeca
Front St & Gold St,Financial District
Front St & Maiden Ln,Financial District
Front St & Washington St,DUMBO
Fulton St & Clermont Ave,Fort Greene
Fulton St & Grand Ave,Cobble Hill
Fulton St & Rockwell Pl,Boerum Hill
Fulton St & Waverly Ave,Fort Greene
Fulton St & William St,Financial District
Gallatin Pl & Livingston St,Downtown Brooklyn
Grand Army Plaza & Central Park S,Upper East Side
Grand St & Greene St,SoHo
Grand St & Havemeyer St,Williamsburg
Great Jones St,Greenwich Village
Greenwich Ave & 8 Ave,West Village
Greenwich Ave & Charles St,West Village
Greenwich St & N Moore St,Tribeca
Greenwich St & Warren St,Tribeca
Hancock St & Bedford Ave,Tribeca
Hanover Pl & Livingston St,Downtown Brooklyn
Harrison St & Hudson St,Tribeca
Henry St & Atlantic Ave,Brooklyn Heights
Henry St & Grand St,Brooklyn Heights
Henry St & Poplar St,Brooklyn Heights
Hicks St & Montague St,Brooklyn Heights
Howard St & Centre St,SoHo
Hudson St & Reade St,Tribeca
Jay St & Tech Pl,Downtown Brooklyn
John St & William St,Financial District
Johnson St & Gold St,Downtown Brooklyn
Joralemon St & Adams St,Brooklyn Heights
Kent Ave & S 11 St,Williamsburg
Lafayette Ave & Classon Ave,Clinton Hill
Lafayette Ave & Fort Greene Pl,Fort Greene
Lafayette Ave & St James Pl,Clinton Hill
Lafayette St & E 8 St,East Village
Lafayette St & Jersey St,Nolita
LaGuardia Pl & W 3 St,Greenwich Village
Laight St & Hudson St,Tribeca
Lawrence St & Willoughby St,Downtown Brooklyn
Lefferts Pl & Franklin Ave,Clinton Hill
Leonard St & Church St,Tribeca
Lexington Ave & Classon Ave,Clinton Hill
Lexington Ave & E 24 St,Kips Bay
Lexington Ave & E 26 St,Kips Bay
Liberty St & Broadway,Financial District
Lispenard St & Broadway,Chinatown
Little West St & 1 Pl,Battery Park City
MacDougal St & Prince St,SoHo
MacDougal St & Washington Sq,Greenwich Village
Macon St & Nostrand Ave,Clinton Hill
Madison St & Clinton St,Lower East Side
Madison St & Montgomery St,Lower East Side
Maiden Ln & Pearl St,Financial District
Market St & Cherry St,Two Bridges
Mercer St & Bleecker St,SoHo
Mercer St & Spring St,SoHo
Metropolitan Ave & Bedford Ave,Williamsburg
Monroe St & Bedford Ave,Fort Greene
Monroe St & Classon Ave,Clinton Hill
Mott St & Prince St,Nolita
Murray St & West St,Battery Park City
Myrtle Ave & St Edwards St,Fort Greene
Nassau St & Navy St,Downtown Brooklyn
Norfolk St & Broome St,Lower East Side
Old Fulton St,DUMBO
Old Slip & Front St,Financial District
Park Ave & St Edwards St,Downtown Brooklyn
Pearl St & Anchorage Pl,DUMBO
Pearl St & Hanover Square,Financial District
Peck Slip & Front Street,Two Bridges
Perry St & Bleecker St,West Village
Pershing Square North,Midtown
Pershing Square South,Midtown
Pike St & E Broadway,Chinatown
Pike St & Monroe St,Two Bridges
Pitt St & Stanton St,Lower East Side
