STATEFIP,COUNTYFIPS,totalpop,targage1wtd,targage2wtd,malewtd,femalewtd,targ1wtd,targ2wtd,coveredwtd,insurlikelywtd,likelytarg1wtd,targage1pp,targage2pp,malepp,femalepp,targ1pp,targ2pp,coveredpp,insurlikelypp,likelytarg1pp
48,61,844270,54031,36620,202357,216420,26756,18138,291238,163472,0,0.137047416,-0.067631416,-0.089422089,-0.074036146,0.145625085,-0.062369981,-0.205879653,0.037758765,0
48,479,542386,34182,25442,129365,136531,16701,12646,184188,97185,0,-0.150664467,-0.241322547,-0.289228476,-0.285327525,-0.151771232,-0.236123351,-0.374794436,-0.224425861,0
49,49,1184598,74294,80437,283820,279925,35450,40478,506207,98682,0,0.430760241,0.613226008,0.133572591,0.093922635,0.402767162,0.644412665,0.133321111,-0.218504784,0
48,215,1699686,106464,77058,403741,424614,52384,38561,552800,309427,0,0.897065409,0.560720879,0.461841192,0.476597825,0.903623376,0.583763501,0.206840462,0.615053817,0
6,107,920874,54526,41176,228106,228139,26735,19910,385518,220393,0,0.144222456,0.003162715,-0.018937452,-0.043041595,0.145003969,-0.00630826,-0.057114724,0.2628981,0
13,113,223254,13212,7787,52834,56632,6833,3825,100581,26869,0,-0.454625281,-0.515657572,-0.498722428,-0.496645352,-0.443636658,-0.515198093,-0.50671838,-0.50254637,0
13,151,443536,26162,15700,102494,111642,12949,7974,184293,58546,0,-0.266914621,-0.392700163,-0.362784447,-0.351154248,-0.26274398,-0.383933939,-0.374628756,-0.377254496,0
6,47,537344,31396,26388,134272,130872,15303,12615,230743,125467,0,-0.191047625,-0.226622975,-0.275796183,-0.300294515,-0.19311982,-0.237104115,-0.301335046,-0.112562213,0
49,11,684562,39692,26170,165734,163629,19177,12408,305623,63333,0,-0.070796843,-0.230010403,-0.189672929,-0.213658411,-0.078538683,-0.243653086,-0.183181483,-0.3583205,0
13,97,284448,16482,10524,66164,72110,7875,5294,116190,37954,0,-0.407226527,-0.473128262,-0.462233236,-0.455708953,-0.412817467,-0.468722546,-0.482088853,-0.458701927,0
17,197,1379058,78594,52053,340172,345338,38707,24732,634616,168538,0,0.493088877,0.172176709,0.287829078,0.266927716,0.499099315,0.146247958,0.335938377,0.057796289,0
48,141,1675836,93990,83926,408942,424799,46417,38761,635976,276406,0,0.716254384,0.667440389,0.476078273,0.477087115,0.727137665,0.590091009,0.338084328,0.484446028,0
17,111,614008,34093,22021,153006,154243,16349,10865,287788,73219,0,-0.151954525,-0.294480299,-0.224514222,-0.238482616,-0.162182321,-0.29246981,-0.211323427,-0.319218456,0
