NUTS,VOLMALE1112,VOLFEMALE1112,VOLMALE1926,VOLFEMALE1926,VOLBOTH1112,VOLBOTH1926,VOLMALE18PLUS,VOLMALE18PLUSAGAINST,VOLFEMALE18PLUS,VOLFEMALE18PLUSAGAINST,VOLBOTH18PLUS,VOLBOTH18PLUSAGAINST,NORMMALE1112,NORMFEMALE1112,NORMMALE1926,NORMFEMALE1926,NORMBOTH1112,NORMBOTH1926,NORMMALE18PLUS,NORMMALE18PLUSAGAINST,NORMFEMALE18PLUS,NORMFEMALE18PLUSAGAINST,NORMBOTH18PLUS,NORMBOTH18PLUSAGAINST
FR101,20095,19304,140806,169475,39399,160110,865399,328852,999862,379947.56,1865261,708799,0.55913916,0.568229295,0.937788034,1,0.563559765,0.870751673,0.93243648,0.932436566,0.967248132,0.967248132,0.950820321,0.950820195
FR102,19446,18347,69473,70301,37793,87820,480199,182476,516278,196185.64,996477,378661,0.54026465,0.538830179,0.452202504,0.405260507,0.539567056,0.46791639,0.501964615,0.501964498,0.484329594,0.484329594,0.492651658,0.492651549
FR103,19710,18417,68189,68703,38127,86606,509740,193701,553805,210445.9,1063545,404147,0.547942417,0.540980585,0.443461923,0.395677413,0.544556822,0.461151388,0.534977515,0.534975708,0.521804953,0.521804953,0.528021158,0.528021261
FR104,16799,16006,65830,62674,32805,81836,445647,169346,475551,180709.38,921198,350055,0.463283408,0.466914475,0.427403489,0.359521925,0.465049225,0.434570612,0.46335178,0.463350939,0.443658638,0.443658638,0.452951941,0.452951871
FR105,18974,18339,81321,85002,37313,99660,569510,216414,650119,247045.22,1219629,463459,0.526537734,0.538584419,0.53285546,0.493421368,0.532396134,0.533894669,0.601772176,0.601771577,0.617986415,0.617986415,0.610334826,0.610335017
FR106,20322,19827,85298,89617,40149,105125,545349,207233,584957,222283.66,1130306,429516,0.565740875,0.584295896,0.559928115,0.521097198,0.574764331,0.564348325,0.574771577,0.574771495,0.552914084,0.552914084,0.563228756,0.5632286
FR107,16895,15930,71299,75853,32825,87229,482056,183181,542489,206145.82,1024545,389327,0.466075324,0.464579749,0.464632644,0.43855546,0.465348014,0.464623049,0.504039864,0.504037808,0.510504525,0.510504525,0.507453816,0.507453925
FR108,16361,15719,65276,66075,32080,80995,418844,159161,458343,174170.34,877187,333331,0.450545296,0.458097813,0.423632242,0.379917482,0.454218145,0.429884148,0.433398671,0.433398228,0.426474318,0.426474318,0.429741959,0.429742145
FR211,3797,3617,12641,11765,7414,16258,105169,39964,112991,42936.58,218160,82901,0.08515341,0.086323421,0.065329712,0.054224237,0.085722396,0.06913788,0.082858011,0.082855933,0.081597559,0.081597559,0.082192373,0.082193017
FR212,3861,3708,14751,13367,7569,18459,113915,43288,123056,46761.28,236971,90049,0.087014687,0.089118948,0.079693127,0.063831318,0.088038006,0.08140293,0.092631913,0.092631368,0.091648708,0.091648708,0.092112688,0.092113079
FR213,6996,6635,32753,32062,13631,39388,211751,80465,231513,87974.94,443264,168440,0.178188163,0.179036618,0.202238242,0.175943917,0.178600774,0.198029568,0.201966403,0.20196391,0.19995646,0.19995646,0.200904963,0.200904852
FR214,2261,2097,8310,6865,4358,10407,70212,26681,74534,28322.92,144746,55003,0.040482769,0.039628901,0.035847271,0.024839282,0.040067526,0.036533243,0.043792578,0.043792422,0.043193479,0.043193479,0.043476197,0.043475908
