,NUTS,VOLMALE1112,VOLFEMALE1112,VOLMALE1926,VOLFEMALE1926,VOLBOTH1112,VOLBOTH1926,VOLMALE18PLUS,VOLMALE18PLUSAGAINST,VOLFEMALE18PLUS,VOLFEMALE18PLUSAGAINST,VOLBOTH18PLUS,VOLBOTH18PLUSAGAINST,NORMMALE1112,NORMFEMALE1112,NORMMALE1926,NORMFEMALE1926,NORMBOTH1112,NORMBOTH1926,NORMMALE18PLUS,NORMMALE18PLUSAGAINST,NORMFEMALE18PLUS,NORMFEMALE18PLUSAGAINST,NORMBOTH18PLUS,NORMBOTH18PLUSAGAINST,id,CNTR_CODE,NUTS_NAME,LEVL_CODE,FID,NUTS_ID,geometry
0,FR101,20095,19304,140806,169475,39399,160110,865399,328852,999862,379947.56,1865261,708799,0.55913916,0.568229295,0.9377880340000001,1.0,0.563559765,0.870751673,0.93243648,0.9324365659999999,0.967248132,0.967248132,0.9508203209999999,0.950820195,FR101,FR,Paris,3,FR101,FR101,"POLYGON ((2.416 48.849, 2.332 48.817, 2.32 48.9, 2.416 48.849))"
1,FR102,19446,18347,69473,70301,37793,87820,480199,182476,516278,196185.64,996477,378661,0.54026465,0.538830179,0.452202504,0.40526050700000005,0.539567056,0.46791639,0.501964615,0.501964498,0.484329594,0.484329594,0.492651658,0.49265154899999997,FR102,FR,Seine-et-Marne,3,FR102,FR102,"POLYGON ((3.485 48.852, 3.557 48.617, 3.415 48.39, 3.049 48.36, 2.936 48.163, 2.476 48.13, 2.403 48.321, 2.572 48.692, 2.592 48.807, 2.553 49.01, 2.591 49.08, 3.072 49.118, 3.485 48.852))"
2,FR103,19710,18417,68189,68703,38127,86606,509740,193701,553805,210445.9,1063545,404147,0.547942417,0.540980585,0.443461923,0.395677413,0.544556822,0.461151388,0.534977515,0.5349757079999999,0.521804953,0.521804953,0.5280211579999999,0.528021261,FR103,FR,Yvelines,3,FR103,FR103,"POLYGON ((2.201 48.909, 2.227 48.776, 1.922 48.458, 1.502 48.941, 1.609 49.078, 2.201 48.909))"
3,FR104,16799,16006,65830,62674,32805,81836,445647,169346,475551,180709.38,921198,350055,0.46328340799999995,0.466914475,0.42740348899999997,0.359521925,0.465049225,0.434570612,0.46335178,0.46335093899999996,0.443658638,0.443658638,0.452951941,0.452951871,FR104,FR,Essonne,3,FR104,FR104,"POLYGON ((2.321 48.749, 2.572 48.692, 2.403 48.321, 1.994 48.287, 1.922 48.458, 2.227 48.776, 2.321 48.749))"
4,FR105,18974,18339,81321,85002,37313,99660,569510,216414,650119,247045.22,1219629,463459,0.526537734,0.538584419,0.53285546,0.49342136799999997,0.532396134,0.5338946689999999,0.601772176,0.6017715770000001,0.617986415,0.617986415,0.610334826,0.610335017,FR105,FR,Hauts-de-Seine,3,FR105,FR105,"POLYGON ((2.32 48.9, 2.332 48.817, 2.321 48.749, 2.227 48.776, 2.201 48.909, 2.291 48.951, 2.32 48.9))"
5,FR106,20322,19827,85298,89617,40149,105125,545349,207233,584957,222283.66,1130306,429516,0.565740875,0.584295896,0.559928115,0.521097198,0.574764331,0.564348325,0.574771577,0.574771495,0.552914084,0.552914084,0.563228756,0.5632286,FR106,FR,Seine-Saint-Denis,3,FR106,FR106,"POLYGON ((2.592 48.807, 2.416 48.849, 2.32 48.9, 2.291 48.951, 2.553 49.01, 2.592 48.807))"
6,FR107,16895,15930,71299,75853,32825,87229,482056,183181,542489,206145.82,1024545,389327,0.46607532399999996,0.464579749,0.464632644,0.43855546,0.465348014,0.464623049,0.504039864,0.504037808,0.510504525,0.510504525,0.5074538160000001,0.507453925,FR107,FR,Val-de-Marne,3,FR107,FR107,"POLYGON ((2.592 48.807, 2.572 48.692, 2.321 48.749, 2.332 48.817, 2.416 48.849, 2.592 48.807))"
7,FR108,16361,15719,65276,66075,32080,80995,418844,159161,458343,174170.34,877187,333331,0.45054529600000004,0.45809781299999996,0.42363224200000005,0.37991748200000003,0.454218145,0.42988414799999997,0.433398671,0.433398228,0.42647431799999996,0.42647431799999996,0.429741959,0.429742145,FR108,FR,Val-d'Oise,3,FR108,FR108,"POLYGON ((2.591 49.08, 2.553 49.01, 2.291 48.951, 2.201 48.909, 1.609 49.078, 1.704 49.232, 2.591 49.08))"
8,FR211,3797,3617,12641,11765,7414,16258,105169,39964,112991,42936.58,218160,82901,0.08515341,0.086323421,0.065329712,0.054224237,0.08572239599999999,0.06913788,0.082858011,0.08285593299999999,0.081597559,0.081597559,0.082192373,0.08219301700000001,FR211,FR,Ardennes,3,FR211,FR211,"POLYGON ((4.969 49.802, 5.154 49.718, 5.394 49.617, 5.108 49.585, 4.951 49.237, 4.048 49.406, 4.233 49.958, 4.432 49.942, 4.797 50.149, 4.897 50.137, 4.793 49.982, 4.852 49.793, 4.969 49.802))"
9,FR212,3861,3708,14751,13367,7569,18459,113915,43288,123056,46761.28,236971,90049,0.087014687,0.089118948,0.079693127,0.063831318,0.088038006,0.08140293,0.09263191300000001,0.092631368,0.09164870800000001,0.09164870800000001,0.09211268800000001,0.092113079,FR212,FR,Aube,3,FR212,FR212,"POLYGON ((4.67 48.532, 4.862 48.266, 4.704 48.02, 4.293 47.926, 3.915 47.975, 3.415 48.39, 3.557 48.617, 3.826 48.515, 4.327 48.697, 4.67 48.532))"
