STATE,COUNTY,TOTAL,NUM.M11-12,NUM.F11-12,NUM.M11-12,PP.F11-12,PP.M11-12,PPF11-12,PP.M18-26,PP.F18-26
1,1,988772,9605,9506,29624,29628,0.00971407,0.009613945,0.029960395,0.029964441
1,3,3463860,28463,27690,95749,94595,0.008217133,0.007993972,0.027642283,0.027309129
1,5,485312,3692,3527,20292,13211,0.007607477,0.00726749,0.041812277,0.027221664
1,7,408584,3384,2898,16212,11803,0.008282263,0.007092789,0.039678499,0.028887573
1,9,1036496,9177,8889,30235,29531,0.008853869,0.00857601,0.029170397,0.028491186
1,11,192396,1391,1407,7877,5545,0.00722988,0.007313042,0.0409416,0.028820766
1,13,370162,3317,3011,10030,11676,0.008960941,0.008134276,0.027096244,0.031542946
1,15,2105556,17334,16616,72235,74810,0.008232505,0.007891502,0.034306853,0.035529808
1,17,613162,4890,4552,18081,18265,0.007975054,0.007423813,0.029488129,0.029788213
1,19,467022,3641,3630,11828,11555,0.007796207,0.007772653,0.02532643,0.024741875
1,21,787586,6985,6662,24253,23898,0.008868873,0.008458759,0.030794097,0.030343353
1,23,243208,2024,1962,6128,6159,0.008322095,0.008067169,0.02519654,0.025324002
1,25,454420,3946,4122,12157,12610,0.008683597,0.009070904,0.026752784,0.027749659
1,27,245674,2158,1894,6481,6834,0.008783998,0.007709404,0.026380488,0.027817351
1,29,269700,2398,2107,7531,7432,0.008891361,0.007812384,0.027923619,0.027556544
1,31,911036,8048,7575,30889,28147,0.008833899,0.00831471,0.033905356,0.030895596
1,33,979448,7888,7551,28290,28944,0.008053516,0.007709445,0.028883616,0.029551339
1,35,232688,1858,1868,6377,5997,0.007984941,0.008027917,0.027405797,0.025772709
1,37,201490,1435,1403,5424,4915,0.007121942,0.006963125,0.02691945,0.02439327
1,39,680086,5514,5239,18753,19166,0.008107798,0.007703438,0.027574454,0.02818173
1,41,250090,2143,2026,7086,6849,0.008568915,0.008101084,0.0283338,0.027386141
1,43,1456654,12231,11378,45027,43329,0.008396641,0.007811052,0.030911253,0.029745568
1,45,898022,7388,7396,34413,30205,0.00822697,0.008235878,0.038320887,0.033635033
1,47,763596,7117,6866,21724,25770,0.009320374,0.008991666,0.028449599,0.033748212
1,49,1278884,11698,11153,38782,37214,0.009147038,0.008720885,0.030324877,0.029098808
1,51,1445970,12148,11960,48727,48180,0.008401281,0.008271264,0.033698486,0.033320193
1,53,685104,5260,5494,23888,19178,0.007677666,0.00801922,0.034867699,0.02799283
1,55,1868710,15519,14868,55838,55942,0.008304659,0.007956291,0.029880506,0.029936159
1,57,305380,2560,2278,8651,8231,0.008382998,0.007459559,0.02832864,0.026953304
1,59,569496,4965,4620,19071,16968,0.008718235,0.008112436,0.033487505,0.029794766
1,61,482080,3977,3712,13207,13475,0.008249668,0.007699967,0.027395868,0.027951792
1,63,157906,1385,1281,4704,4631,0.008771041,0.008112421,0.029789875,0.029327575
1,65,276862,2472,2447,7963,8373,0.008928636,0.008838338,0.028761621,0.030242503
1,67,310474,2617,2438,7627,8000,0.008429047,0.007852509,0.024565664,0.025767053
1,69,1853680,16440,15489,55594,59697,0.008868845,0.008355811,0.029991153,0.032204588
1,71,951902,8038,7561,26225,25600,0.008444147,0.007943045,0.027550105,0.026893525
1,73,11856222,95655,92910,404272,436816,0.008067916,0.007836392,0.034097877,0.036842765
