GEOID,XCoord,YCoord,A1subway,A1competition,A1rating,A1review,A1price,A1CF,A1rent
0,40.76588675,-74.16551071,0,1,0,0,0,0.004133992,59.7228
1,40.66272194,-73.90803853,10,1,0,0,0,0.017017942,40.4818529
2,40.77480187,-73.95932495,8,1,3.45,216.7,1.9,0.002198181,89.332939
3,40.78510357,-73.79488061,0,1,0,0,0,0.003144626,38.78725275
4,40.93600504,-74.06318512,0,0,0,0,0,0.001561026,75.99666667
5,40.76027057,-74.04253374,0,3,0,0,0,0.01132271,82.16571429
6,40.72487428,-73.99524316,22,2,3.75,247.625,2.25,0.003780574,114.9871969
7,40.83711552,-73.87977426,16,0,0,0,0,0.001669608,36.06038153
8,40.6321665,-74.00759458,7,9,0,0,0,0.015563836,28.55523546
9,40.72765337,-73.72209062,0,2,0,0,0,0.014223714,44.46765896
10,40.70277723,-73.81555087,11,3,0,0,0,0.004687249,32.41875
11,40.83765876,-74.20586319,0,1,0,0,0,0.005772982,47.08
12,40.64921731,-74.21450007,0,0,0,0,0,0.001588138,54.83931034
13,40.82126372,-73.95357124,17,3,3.571428571,19.85714286,1,0.001732161,29.44333333
14,40.92453784,-73.84901862,0,0,0,0,0,0.000931762,23.97714286
15,40.75632049,-73.98380736,42,3,3.444444444,220.1111111,1.555555556,0.002228724,80.46158827
16,40.63242303,-74.10685677,0,0,0,0,0,0.002661057,21.71239531
17,40.6672748,-73.98455096,21,3,3.8,86,1.6,0.005328054,54.71657702
18,40.73086442,-73.85723361,11,2,4,166,2,0.003552684,25.59375
19,40.64610571,-73.77798756,0,0,0,0,0,0.002530396,33.4
20,40.87071775,-74.09943097,0,0,0,0,0,0.008684025,62.23
21,40.58495301,-73.95388574,10,1,0,0,0,0.003773056,35
22,40.92642529,-73.99627067,0,0,0,0,0,0.005882838,40.16666667
23,40.69034186,-73.96444825,20,3,3.6,52,1.2,0.004545739,49.13329231
24,40.74313346,-73.91977153,14,3,3.4,35.2,1,0.005992693,46.26747841
25,40.77017466,-74.25702135,0,0,0,0,0,0.001519385,18.86
26,40.70321437,-73.92537875,21,4,4.5,8.5,1,0.00557241,42.33435047
27,40.86291938,-73.89734338,25,2,0,0,0,0.004656327,30.14930556
28,40.90248492,-74.20078054,0,1,0,0,0,0.003653442,52.75333333
29,40.70619498,-74.0124003,54,2,3.1,80.3,1.5,0.002116943,71.37387739
30,40.8105357,-74.11788739,0,0,0,0,0,0.006185137,47.08
31,40.74038521,-74.00512403,11,0,3.3,136.4,1.6,0.005020348,69.72846304
32,40.84642547,-74.00184173,0,2,3.857142857,52.28571429,1.714285714,0.005104951,45.91
33,40.78876243,-73.72873891,0,0,0,0,0,0.007249689,92.485
34,40.72547209,-74.22632508,0,0,0,0,0,0.006715813,18.86
35,40.59074313,-73.80989595,24,1,0,0,0,0.007058679,29.33333333
36,40.75242369,-73.84664367,7,0,0,0,0,0,26.5
37,40.8482259,-73.78764529,0,0,0,0,0,0.003249076,29.11
38,40.77803193,-73.98050073,7,4,3,192.8,2,0.004403413,114.3433333
39,40.63242753,-73.94612974,11,5,0,0,0,0.008497967,52.11206897
40,40.72271759,-73.98169192,0,2,3.722222222,60.77777778,1.444444444,0.005854721,134.5374413
41,40.66621344,-74.11212343,0,2,0,0,0,0.007724741,26.75
42,40.71821331,-74.04170642,0,2,3.1875,180.125,1.75,0.003376965,91.07
43,40.72802664,-74.15092631,0,2,0,0,0,0.009579797,41.47
