Geo NUTS CODES,MALE1112,FEMALE1112,MALE1926,FEMALE1926,BOTH1112,BOTH1926,MALE18PLUS,MALE18PLUSAGAINST,18plusFemale,18plussagainstFemale,18plusboth,18plusbothagainst
FR,819465,779939,3212664,3194320,1599404,3992603,24061660,9143430.8,26453273,10052243.74,50514933,19195674.54
FR1,148603,141888,647492,687699,290491,789380,4316743,1640362.34,4781400,1816932,9098143,3457294.34
FR10,148603,141888,647492,687699,290491,789380,4316743,1640362.34,4781400,1816932,9098143,3457294.34
FR101,20095,19304,140806,169475,39399,160110,865399,328851.62,999862,379947.56,1865261,708799.18
FR102,19446,18347,69473,70301,37793,87820,480199,182475.62,516278,196185.64,996477,378661.26
FR103,19710,18417,68189,68703,38127,86606,509740,193701.2,553805,210445.9,1063545,404147.1
FR104,16799,16006,65830,62674,32805,81836,445647,169345.86,475551,180709.38,921198,350055.24
FR105,18974,18339,81321,85002,37313,99660,569510,216413.8,650119,247045.22,1219629,463459.02
FR106,20322,19827,85298,89617,40149,105125,545349,207232.62,584957,222283.66,1130306,429516.28
FR107,16895,15930,71299,75853,32825,87229,482056,183181.28,542489,206145.82,1024545,389327.1
FR108,16361,15719,65276,66075,32080,80995,418844,159160.72,458343,174170.34,877187,333331.06
FR2,136165,130511,509752,494977,266676,640263,4014217,1525402.46,4375320,1662621.6,8389537,3188024.06
FR21,16916,16056,68455,64058,32972,84511,501042,190395.96,542108,206001.04,1043150,396397
FR211,3797,3617,12641,11765,7414,16258,105169,39964.22,112991,42936.58,218160,82900.8
FR212,3861,3708,14751,13367,7569,18459,113915,43287.7,123056,46761.28,236971,90048.98
FR213,6996,6635,32753,32062,13631,39388,211751,80465.38,231513,87974.94,443264,168440.32
FR214,2261,2097,8310,6865,4358,10407,70212,26680.56,74534,28322.92,144746,55003.48
FR22,25634,24448,94721,92354,50082,119169,706552,268489.76,760115,288843.7,1466667,557333.46
FR221,7247,7026,24355,23728,14273,31381,198557,75451.66,215680,81958.4,414237,157410.06
FR222,11139,10702,39625,37825,21841,50327,295296,112212.48,312364,118698.32,607660,230910.8
FR223,7249,6720,30740,30798,13969,37460,212698,80825.24,232075,88188.5,444773,169013.74
FR23,23724,23304,91967,91620,47028,115271,672579,255580.02,743319,282461.22,1415898,538041.24
FR231,8313,7867,25245,24687,16180,33112,214555,81530.9,230628,87638.64,445183,169169.54
FR232,15410,15436,66719,66932,30846,82155,458016,174046.08,512700,194826,970716,368872.08
FR24,31596,30620,113967,111360,62216,144587,959038,364434.44,1042594,396185.72,2001632,760620.16
FR241,3601,3548,12629,11637,7149,16177,119554,45430.52,129844,49340.72,249398,94771.24
FR242,5610,5555,18496,17593,11165,24051,159077,60449.26,169872,64551.36,328949,125000.62
FR243,2678,2547,8241,7767,5225,10788,88915,33787.7,97176,36926.88,186091,70714.58
FR244,7434,6883,30115,31789,14317,36998,221691,84242.58,246216,93562.08,467907,177804.66
FR245,4126,3920,12510,11814,8046,16430,124629,47359.02,135843,51620.34,260472,98979.36
FR246,8147,8169,31978,30760,16316,40147,245170,93164.6,263657,100189.66,508827,193354.26
FR25,18550,17671,67237,65089,36221,84908,551270,209482.6,603954,229502.52,1155224,438985.12
FR251,8598,8236,35235,35653,16834,43471,252506,95952.28,281800,107084,534306,203036.28
FR252,6251,6048,20469,18308,12299,26517,189478,72001.64,203231,77227.78,392709,149229.42
FR253,3701,3388,11532,11129,7089,14920,109285,41528.3,118924,45191.12,228209,86719.42
FR26,19746,18412,73406,70496,38158,91818,623738,237020.44,683221,259623.98,1306959,496644.42
FR261,6365,5926,29748,30384,12291,35674,198959,75604.42,219037,83234.06,417996,158838.48
FR262,2373,2227,8337,7575,4600,10564,84098,31957.24,93781,35636.78,177879,67594.02
FR263,6602,6145,22108,19446,12747,28253,212157,80619.66,230128,87448.64,442285,168068.3
FR264,4407,4114,13210,13092,8521,17324,128522,48838.36,140276,53304.88,268798,102143.24
FR3,55459,52440,222525,221557,107899,274965,1452075,551788.5,1617938,614816.44,3070013,1166604.94
FR30,55459,52440,222525,221557,107899,274965,1452075,551788.5,1617938,614816.44,3070013,1166604.94
FR301,35254,33359,149945,150396,68613,183304,925857,351825.66,1032659,392410.42,1958516,744236.08
FR302,20206,19081,72582,71162,39287,91663,526219,199963.22,585282,222407.16,1111501,422370.38
FR4,66688,63196,276567,266521,129884,339763,2034523,773118.74,2183296,829652.48,4217819,1602771.22
FR41,28748,27032,125110,117228,55780,152142,892287,339069.06,961484,365363.92,1853771,704432.98
FR411,8879,8185,44641,43948,17064,52826,276003,104881.14,303234,115228.92,579237,220110.06
FR412,2478,2294,9122,8058,4772,11416,74029,28131.02,77206,29338.28,151235,57469.3
FR413,12578,11885,54900,50334,24463,66785,399738,151900.44,426346,162011.48,826084,313911.92
FR414,4813,4667,16447,14894,9480,21114,142514,54155.32,154701,58786.38,297215,112941.7
FR42,23002,22137,93436,95656,45139,115573,699441,265787.58,752436,285925.68,1451877,551713.26
FR421,13532,12657,58610,61759,26189,71267,415534,157902.92,449562,170833.56,865096,328736.48
FR422,9470,9481,34827,33897,18951,44308,283908,107885.04,302868,115089.84,586776,222974.88
FR43,14938,14028,58021,53634,28966,72049,442793,168261.34,469382,178365.16,912175,346626.5
FR431,6684,6254,29221,28419,12938,35475,198768,75531.84,212167,80623.46,410935,156155.3
FR432,3358,3292,10422,9785,6650,13714,98034,37252.92,105321,40021.98,203355,77274.9
FR433,3075,2891,9643,8736,5966,12534,90763,34489.94,95495,36288.1,186258,70778.04
FR434,1822,1591,8738,6694,3413,10329,55235,20989.3,56384,21425.92,111619,42415.22
FR5,108047,102964,401004,382431,211011,503968,3212428,1220722.64,3495565,1328314.7,6707993,2549037.34
FR51,46466,44801,171604,165816,91267,216405,1331477,505961.26,1441370,547720.6,2772847,1053681.86
FR511,17067,16138,66777,65008,33205,82915,475081,180530.78,521172,198045.36,996253,378576.14
FR512,10167,10059,40407,40627,20226,50466,289342,109949.96,315066,119725.08,604408,229675.04
FR513,4151,3955,13284,11847,8106,17239,113934,43294.92,120089,45633.82,234023,88928.74
FR514,7221,7095,25624,24476,14316,32719,210375,79942.5,226784,86177.92,437159,166120.42
FR515,7860,7553,25512,23856,15413,33065,242746,92243.48,258258,98138.04,501004,190381.52
FR52,40896,38484,150608,141275,79380,189092,1203351,457273.38,1312235,498649.3,2515586,955922.68
FR521,7363,7058,22919,20673,14421,29977,222701,84626.38,245638,93342.44,468339,177968.82
FR522,11307,10612,40909,36959,21919,51521,338126,128487.88,370890,140938.2,709016,269426.08
FR523,12946,12234,56282,56802,25180,68516,369508,140413.04,397844,151180.72,767352,291593.76
FR524,9279,8582,30503,26839,17861,39085,273020,103747.6,297856,113185.28,570876,216932.88
FR53,20686,19679,78788,75341,40365,98467,677597,257486.86,741955,281942.9,1419552,539429.76
FR531,4153,3999,14615,13005,8152,18614,135370,51440.6,147900,56202,283270,107642.6
FR532,7100,6701,25686,23691,13801,32387,239027,90830.26,265084,100731.92,504111,191562.18
FR533,4620,4225,15108,14100,8845,19333,141044,53596.72,150201,57076.38,291245,110673.1
FR534,4813,4754,23375,24546,9567,28129,162151,61617.38,178777,67935.26,340928,129552.64
FR6,80500,76184,319566,311550,156684,395750,2628793,998941.34,2888345,1097571.1,5517138,2096512.44
FR61,38378,36584,147078,146379,74962,183662,1229158,467080.04,1368291,519950.58,2597449,987030.62
FR611,4586,4328,14272,13625,8914,18600,160508,60993.04,177993,67637.34,338501,128630.38
FR612,17726,16781,77589,81330,34507,94370,545251,207195.38,612865,232888.7,1158116,440084.08
FR613,4684,4570,14304,12645,9254,18874,148195,56314.1,160487,60985.06,308682,117299.16
FR614,3932,3653,12499,12295,7585,16152,125699,47765.62,139225,52905.5,264924,100671.12
FR615,7451,7252,28413,26482,14703,35665,249498,94809.24,277723,105534.74,527221,200343.98
FR62,34381,32097,140705,134924,66478,172802,1111343,422310.34,1202687,457021.06,2314030,879331.4
FR621,1769,1717,5481,4995,3486,7198,58786,22338.68,63267,24041.46,122053,46380.14
FR622,3051,2963,9860,8959,6014,12823,107796,40962.48,115194,43773.72,222990,84736.2
FR623,15369,14251,79635,79425,29620,93886,479724,182295.12,515883,196035.54,995607,378330.66
FR624,2105,2021,6211,5777,4126,8232,73750,28025,79218,30102.84,152968,58127.84
FR625,1909,1759,5751,5141,3668,7510,68198,25915.24,74174,28186.12,142372,54101.36
FR626,2479,2331,9854,8253,4810,12185,88426,33601.88,98288,37349.44,186714,70951.32
FR627,4615,4165,14603,13477,8780,18768,142919,54309.22,157971,60028.98,300890,114338.2
FR628,3083,2890,9313,8898,5973,12203,91753,34866.14,98693,37503.34,190446,72369.48
FR63,7741,7503,31783,30246,15244,39286,288290,109550.2,317358,120596.04,605648,230146.24
FR631,2553,2451,9957,8375,5004,12408,95251,36195.38,103481,39322.78,198732,75518.16
FR632,1276,1196,4209,3628,2472,5405,48919,18589.22,52651,20007.38,101570,38596.6
FR633,3912,3858,17620,18244,7770,21478,144134,54770.92,161231,61267.78,305365,116038.7
FR7,95969,91316,378976,371892,187285,470292,2846780,1081776.4,3088773,1173733.74,5935553,2255510.14
FR71,80611,76965,318604,314221,157576,395569,2326688,884141.44,2521351,958113.38,4848039,1842254.82
FR711,8505,8047,26407,24158,16552,34454,223296,84852.48,232277,88265.26,455573,173117.74
FR712,3769,3704,11488,10844,7473,15192,119885,45556.3,129734,49298.92,249619,94855.22
FR713,6322,6128,20532,19813,12450,26660,180197,68474.86,196685,74740.3,376882,143215.16
FR714,16050,15624,65088,61685,31674,80712,451436,171545.68,479212,182100.56,930648,353646.24
FR715,9190,8730,35321,34797,17920,44051,277477,105441.26,307792,116960.96,585269,222402.22
FR716,21275,20456,105576,113794,41731,126032,637759,242348.42,713247,271033.86,1351006,513382.28
FR717,5594,4998,19807,18053,10592,24805,158211,60120.18,167998,63839.24,326209,123959.42
FR718,9905,9279,34381,31079,19184,43660,278424,105801.12,294405,111873.9,572829,217675.02
FR72,15357,14351,60371,57674,29708,74722,520091,197634.58,567429,215623.02,1087520,413257.6
FR721,3884,3514,12821,12264,7398,16335,131249,49874.62,146421,55639.98,277670,105514.6
FR722,1435,1433,5265,4835,2868,6698,58626,22277.88,62961,23925.18,121587,46203.06
FR723,2871,2661,8466,7684,5532,11127,85586,32522.68,90815,34509.7,176401,67032.38
FR724,7168,6743,33819,32893,13911,40562,244629,92959.02,267220,101543.6,511849,194502.62
FR8,95678,90844,363973,360247,186522,454817,2947130,1119909.4,3319032,1261232.16,6266162,2381141.56
FR81,32473,31113,123090,123896,63586,154203,995796,378402.48,1117684,424719.92,2113480,803122.4
FR811,4305,4071,13906,13172,8376,17977,135808,51607.04,150023,57008.74,285831,108615.78
