STATEFIP,COUNTYFIPS,totalpop,targage1wtd,targage2wtd,malewtd,femalewtd,targ1wtd,targ2wtd,coveredwtd,insurlikelywtd,likelytarg1wtd,targage1pp,targage2pp,malepp,femalepp,targ1pp,targ2pp,coveredpp,insurlikelypp,likelytarg1pp
48,61,844270,54031,36620,202357,216420,26756,18138,291238,163472,0,5,3,3,3,5,3,2,4,0
48,479,542386,34182,25442,129365,136531,16701,12646,184188,97185,0,3,2,2,2,3,2,1,2,0
49,49,1184598,74294,80437,283820,279925,35450,40478,506207,98682,0,7,8,5,5,7,8,5,2,0
48,215,1699686,106464,77058,403741,424614,52384,38561,552800,309427,0,11,8,7,7,11,8,6,8,0
6,107,920874,54526,41176,228106,228139,26735,19910,385518,220393,0,5,4,4,4,5,4,4,6,0
13,113,223254,13212,7787,52834,56632,6833,3825,100581,26869,0,1,0,0,0,1,0,0,0,0
13,151,443536,26162,15700,102494,111642,12949,7974,184293,58546,0,2,1,1,1,2,1,1,1,0
6,47,537344,31396,26388,134272,130872,15303,12615,230743,125467,0,3,2,2,2,3,2,2,3,0
49,11,684562,39692,26170,165734,163629,19177,12408,305623,63333,0,4,2,2,2,3,2,3,1,0
13,97,284448,16482,10524,66164,72110,7875,5294,116190,37954,0,1,1,0,0,1,1,0,0,0
17,197,1379058,78594,52053,340172,345338,38707,24732,634616,168538,0,8,5,6,6,8,5,7,4,0
48,141,1675836,93990,83926,408942,424799,46417,38761,635976,276406,0,9,9,7,7,9,8,7,7,0
17,111,614008,34093,22021,153006,154243,16349,10865,287788,73219,0,3,2,2,2,3,2,2,1,0
34,19,249352,13833,9267,63187,63068,6634,3511,118839,27156,0,1,0,0,0,1,0,0,0,0
13,223,311650,17272,11066,73081,76709,8860,5562,131061,34691,0,1,1,0,1,1,1,1,0,0
17,97,1406094,77746,59784,350263,351861,37521,26450,641057,179202,0,8,6,6,6,7,5,7,4,0
4,5,281816,15575,22628,68096,70104,7854,11983,116926,41608,0,1,2,0,0,1,2,0,1,0
6,25,361766,19987,17415,91393,87516,9291,7783,152665,85972,0,1,1,1,1,1,1,1,2,0
